0007		ACADÉMIE GAÏA
0009		Sergi Castillo Lapeira
0010		© Sergi Castillo Lapeira, 2026
0011		Première édition : 2026
0012		Tous droits réservés.
0013		Aucune partie de cette publication ne peut être reproduite, stockée dans un système de récupération de données ni transmise, sous quelque forme et par quelque moyen que ce soit — électronique, mécanique, par photocopie, par enregistrement ou autre —, sans l’autorisation écrite et préalable de l’auteur, sauf dans le cas de brèves citations intégrées à des critiques ou à des travaux universitaires.
0014		Ceci est une œuvre de fiction. Les noms, les personnages, les lieux et les événements sont le fruit de l’imagination de l’auteur ou sont utilisés de manière fictive. Toute ressemblance avec des personnes réelles, vivantes ou mortes, serait purement fortuite.
0015		sergicastillo.com
0016		Pour Xavier et Hel·lena
0017		« Peut-être la réalité n’est-elle pas un lieu, mais la façon dont toutes les consciences se rencontrent. »
0018		— Académie Gaïa
0019		TABLE DES MATIÈRES
1733	Normal	— Bon, je suppose que nous devrons échanger nos vêtements. Johnny ! Je ne sais pas si je dois te serrer dans mes bras ou t’insulter ! dit Anastasia.
1734	Normal	— Dans tes bras, s’il te plaît.
1735	Normal	Tous les six s’embrassèrent, célébrant le succès partiel de tout le processus de transfert. Celui qui était le plus surpris, c’était Eusebi.
1736	Normal	— Quand j’ai disparu, toute cette technologie n’existait pas, s’exclama-t-il en promenant son regard dans le laboratoire, on dirait que je suis dans un film de science-fiction.
1737	Normal	— S’il vous plaît, pouvez-vous nous donner nos vêtements ? Je suis passée du statut de conscience incorporelle à celui d’un corps nu que je ne reconnais pas, avec un appendice dont je ne sais où le mettre, demanda Élia, d’une voix grave qu’elle ne reconnut pas comme sienne.
1738	Normal	— Tout de suite ! affirma Miqui. Nous avons tout préparé. Ce sont les meilleurs vêtements que nous ayons pu trouver, vu les circonstances. Vous savez que nous sommes en train de survivre à une apocalypse, non ?
1739	Normal	— Nous le savons, nous le savons… répondit Ilya, sur un ton doux et suave qu’il ne parvenait pas non plus à faire sien.
1740	Normal	— Et maintenant ? demanda Eusebi. Comment allons-nous nous y prendre pour légaliser nos nouvelles identités ?
1741	Normal	— Pour cela, ne vous en faites pas, répondit Johnny. À partir de maintenant, vous êtes des humains synthétiques dotés du droit de citoyenneté à « Nouvelle Terre ». J’ai toute votre documentation prête, il nous faudra seulement changer l’assignation de sexe. Mais cela ne posera aucun problème. Les changements volontaires de sexe sont à l’ordre du jour.
1742	Normal	— Et où vivrons-nous, Johnny ? demanda Anastasia.
1743	Normal	— Pour le moment chez nous. Ensuite, nous vous chercherons un endroit. Mais oubliez l’académie ou vos lieux d’origine. Ce sont désormais des territoires zombies.
1744	Normal	— Et du travail ? Y en a-t-il ? Pourrai-je de nouveau faire de la recherche pharmaceutique ? demanda Élia.
1745	Normal	— Le plus probable, c’est que oui. En fait, les projets qui accaparent le plus de ressources visent à trouver un vaccin contre le virus zombie et ses évolutions ultérieures.
1746	Normal	— Des évolutions ultérieures ?
1747	Normal	— Oui, en peu de temps le virus d’origine a muté en de nombreuses variantes, chacune plus meurtrière que la précédente. À cause de cela, nos vaccins ont échoué les uns après les autres. À l’heure actuelle, l’espoir, pour les humains biologiques, est une flamme qui va s’éteignant.
1748	Normal	— Eh bien, nous ne le permettrons pas, dit Anastasia. Du moins en ce qui me concerne, je promets de travailler autant que je le pourrai, avec Élia et avec qui il faudra, pour trouver une solution à ce fléau.
1749	Normal	— Tu peux aussi compter sur nous ! dirent Eusebi et Ilya.
1750	Normal	— Très bien, alors vous avez déjà un poste de travail. Demain, je vous adresserai à Ava pour qu’elle vous prépare les contrats et que vous commenciez à travailler à Human Biotech.
1751	Normal	— Ava ! Comment va-t-elle ? As-tu réussi à la ressusciter ? demanda Anastasia.
1752	Normal	— Très bien, elle sera très contente quand elle vous verra, surtout quand elle te verra, toi, Anastasia !
1753	Normal	— Je n’en suis pas si sûre. Quand nous nous sommes connues, j’étais une fille et maintenant je suis un garçon. Peut-être va-t-elle tomber amoureuse de toi, Ilya !
1754	Normal	— Je ne la connais pas, il faudra d’abord que tu me la présentes.
1755	Normal	— Tu peux te l’ôter de la tête, je ne veux pas que tu me voles ma fiancée, répondit Anastasia, arborant un large sourire.
1756	Normal	— Maintenant, Miqui va vous accompagner à la maison pour que vous vous installiez, pendant que moi je reste ici à ranger un peu tout ce fouillis. Je ne veux pas que, demain lundi, ceux qui viendront travailler s’imaginent qu’il y a eu un tremblement de terre, dit Johnny.
1757	Normal	— Très bien, les amis, suivez-moi ! Désormais, je suis votre cicérone !
1758	Normal	Johnny, à présent bien plus tranquille et satisfait, s’assit dans le fauteuil tandis qu’il observait tous les cinq s’en aller. Il lui restait environ deux heures de travail avant de laisser le laboratoire en ordre. Aussi, dès qu’il entendit la porte se refermer, il se leva pour se mettre à la tâche. Il ne s’était pas écoulé cinq minutes qu’il perçut de faibles vibrations qui provenaient du moniteur principal connecté au CONEXX. « Comme c’est étrange », songea-t-il. « D’où sortent ces bruits ? On dirait qu’ils sont émis selon un motif connu. » Alors il prit du papier et un crayon et commença à faire un schéma de ce qu’il était en train d’écouter. Il ne tarda pas à se rendre compte qu’il recevait un message codé en système Morse. « Du morse ! Qui utilise une forme de communication aussi ancienne ? » se demanda-t-il. « Bon, je vais tout noter et ensuite je le décoderai. » Après avoir enregistré le code pendant une dizaine de minutes, le bruit s’arrêta. Alors Johnny consulta sa base de données neurale pour commencer à décoder le message qu’il venait de recevoir. Lorsqu’il eut terminé, il s’affala à demi évanoui sur le fauteuil, horrifié par le message qu’il avait transcrit et qu’il venait de lire :
1759	Normal	« Johnny, c’est nous, Ilya, Anastasia, Élia et Eusebi. Nous sommes toujours ici, flottant dans les réseaux neuronaux quantiques. Le CONEXX ne nous a pas matérialisés, il a seulement fait une copie exacte de notre conscience et l’a imprimée dans les corps synthétiques. Tu as commis l’erreur de tomber dans le Paradoxe de la copie. Tu n’as réussi qu’à créer un double de nous, mais les originaux, nous restons tels qu’auparavant. S’il te plaît, ne nous abandonne pas… »
1760	Heading 2	CHAPITRE 27. Amour salvateur
1761	Normal	— Idiot ! Comment ai-je pu être aussi âne ! Comment ne l’avais-je pas prévu ! Quel désastre j’ai fait. Comment pourrai-je le réparer ? Si cela se sait, ce sera ma fin. J’ai voulu jouer à être Dieu et maintenant j’en paie les conséquences ! J’ai envie de mourir !
1762	Normal	— Johnny, qu’est-ce qui t’arrive ? Pourquoi es-tu si bouleversé ? Je pensais te trouver heureux et content de la façon dont tout s’était passé, et je te trouve dans cet état ? Je ne comprends pas. Peux-tu me l’expliquer ? Cela m’étonnait aussi que tu tardes autant à rentrer à la maison. Mon nez me disait que quelque chose s’était passé, et mon nez ne me trompe jamais.
1763	Normal	— Je suis désolé, Miqui, mais j’ai commis une erreur terrible, incompréhensible, une bourde digne d’un débutant. Je n’en reviens pas, comment ai-je pu être aussi nul !
1764	Normal	Johnny expliqua brièvement le grave problème dans lequel il se trouvait, avec la duplication de consciences qu’il avait créée. Son visage était celui d’un homme vaincu et effondré, comme s’il était dans le couloir de la mort, dans l’attente de l’exécution imminente de la sentence. Miqui essaya de lui remonter le moral, mais tout fut vain. Son désarroi était total. Alors Miqui le prit par le cou, faisant reposer sa tête sur sa poitrine, et lui dit avec les mots les plus doux dont il fut capable :
1765	Normal	— Ce n’est pas si terrible. Tu as commis une erreur, peut-être très grande, mais tout le monde commet des erreurs. Tu n’as tué personne, tu n’as rien fait de mal. C’est ton intention qui compte. Tu voulais aider tes amis et tu as fait tout ton possible pour y parvenir. Tu n’as pas réussi comme tu le voulais, mais personne n’aurait réussi. En vérité, tu es allé plus loin qu’aucun des scientifiques qui t’entourent au laboratoire. Vois-le du bon côté et ne sois pas si exigeant envers toi-même. Après tout, tu n’es qu’un homme. Très intelligent, mais seulement un homme. Tu n’es pas un dieu. Alors ne te tracasse pas. Tes amis savaient déjà que tout pouvait échouer. Tu ne les as pas trompés le moins du monde. Maintenant, ce qu’il faut, c’est se remettre. Calme-toi et repose-toi quelques jours ou quelques semaines. Là-bas, ils n’ont pas l’expérience du temps, parce qu’il n’existe pas. Par conséquent, peu leur importe que tu te reposes un petit moment. Quand tu iras mieux, tu auras l’esprit clair pour trouver une issue à ce labyrinthe diabolique dans lequel tu t’es fourré.
1766	Normal	Johnny resta un moment à regarder Miqui dans les yeux, en silence, tandis que des larmes lui montaient aux yeux comme les champignons poussent en automne, et alors il lui dit, en l’étreignant :
1767	Normal	— Miqui, si tu n’existais pas, il faudrait que je te crée. Je ne sais pas ce que je ferais sans toi.
1768	Normal	— Laisse tomber les balivernes et écoute-moi. Maintenant, je vais te préparer un bon repas et ensuite nous irons faire des courses. Tu as besoin de faire baisser ton cortisol, et je suis là pour que tu y arrives.
1769	Normal	Les mots de Miqui furent un baume pour l’esprit tourmenté de Johnny. Quand il put y réagir, il tenta de l’en remercier, à sa manière :
1770	Normal	— Miqui, quel laïus tu m’as servi. Tu l’avais préparé ?
1771	Normal	— Pas le moins du monde ! Cela m’est venu de façon spontanée. Et je te connais assez bien pour savoir ce qui t’arrive sans avoir à te le demander, donc je n’ai besoin de rien préparer.
1772	Normal	— Eh bien, je t’en remercie sincèrement. J’aimerais te récompenser d’une manière ou d’une autre.
1773	Normal	— Que veux-tu dire ?
1774	Normal	— Je ne sais pas, j’ai le sentiment que toi tu te soucies beaucoup de moi et moi bien peu de toi. Et cela ne me semble pas juste. Cela devrait être équilibré.
1775	Normal	— C’est parce qu’il n’y a pas de raisons pour que tu t’inquiètes. Je suis très bien avec toi, tu me rends heureux et je ne peux pas t’en demander plus.
1776	Normal	— Vraiment ? Mais je ne suis jamais à la maison. Le travail m’accapare entièrement.
1777	Normal	— Des temps meilleurs viendront. Tant que l’épidémie zombie ne sera pas terminée, nous ne pourrons pas retrouver une vie normale.
1778	Normal	— Comme toujours, tu as raison, mon amour.
1779	Normal	— C’est toi qui me la donnes.
1780	Normal	— As-tu une idée de la façon dont je pourrais réparer le tort que j’ai provoqué ?
1781	Normal	— Tout à l’heure, je t’ai demandé de te reposer. Tu veux déjà repenser à ce problème ?
1782	Normal	— Oui, mais maintenant je veux le faire à partir d’une réflexion posée et tranquille, avec toi à mes côtés. Ce sera très différent.
1783	Normal	— Johnny, je ne suis pas spécialiste de ces sujets que tu maîtrises. J’ai à peine compris quand tu as essayé de me l’expliquer. Cependant, je crois que tu pourrais essayer une chose qui vient de me traverser l’esprit.
1784	Normal	— Laquelle ?
1785	Normal	— Eh bien… voyons, tu pourrais créer un canal permanent entre les consciences originales et leurs copies.
1786	Normal	— Hum… je crois que je vois où tu veux en venir, mais continue.
1787	Normal	— Si ce canal permettait que, de manière simultanée, ce qu’éprouve une conscience puisse être éprouvé par sa copie, alors il se produirait une sorte de fusion entre les deux consciences. Tout ce que ferait l’une, l’autre le ferait aussi. Je ne sais pas si je m’exprime bien.
1788	Normal	— Tu t’exprimes à merveille, Miqui. En fait, sans le savoir, tu fais référence à une propriété très connue de la mécanique quantique, l’intrication quantique, qui permet à deux particules intriquées d’éprouver les mêmes phénomènes, même si elles sont séparées par des distances qui peuvent se mesurer en années-lumière. Dans la mesure où ces deux consciences, l’originale et la copie, seraient intriquées au niveau quantique, elles agiraient de fait comme si elles n’en formaient qu’une seule. Et ainsi nous aurions résolu le problème ! Miqui, tu es un génie !
1789	Normal	— C’est ce que me disait déjà mon entraîneuse, mais je n’arrivais jamais tout à fait à y croire. Quoi qu’il en soit, il faudra que tu expliques la situation aux copies que tu viens de créer. Elles doivent le savoir.
1790	Normal	— Bien entendu. Je le ferai aujourd’hui même. Mais j’ai besoin de m’enfermer dans mon bureau. Je dois réfléchir à la façon de modifier le CONEXX pour qu’il puisse créer l’intrication quantique.
1791	Normal	— Autrement dit, avec ton histoire de repos, je ne t’ai pas convaincu.
1792	Normal	— Si, Miqui, tu m’as tout à fait convaincu, mais je le ferai quand j’aurai résolu le problème. Je te le promets.
1793	Normal	Johnny partit à toutes jambes vers son bureau. Il avait mille idées qui bouillonnaient dans son cerveau CSPQM et il ne voulait pas perdre une seule seconde pour les développer et les mettre en pratique. L’homme qui partit en courant vers son lieu de travail n’avait plus rien à voir avec l’être effondré que Miqui avait trouvé quelques heures plus tôt seulement. Cela le combla de satisfaction, conscient qu’une fois de plus il avait réussi à sauver son compagnon bien-aimé.
1794	Heading 2	CHAPITRE 28. Conscience fractale
1795	Normal	Une semaine passa et les invités de Johnny se demandaient ce qu’il faisait, enfermé toute la journée dans son bureau avec Ava. Ils soupçonnèrent même que la relation avec Miqui avait commencé à battre de l’aile. Mais, le huitième jour, ils sortirent tous les deux, un sourire aux lèvres.
1796	Normal	— Les amis, je crois que nous avons réussi !
1797	Normal	— Réussi quoi ? demanda Anastasia.
1798	Normal	— La fusion quantique de vos consciences, répondit Ava.
1799	Normal	— Et cela, qu’est-ce que ça veut dire ? Quelles consciences ?
1800	Normal	— Eh bien, ce que le mot signifie. S’unir. Cesser d’être deux pour redevenir un. Nous ne vous l’avions pas dit jusqu’à présent, mais le processus ne s’est pas tout à fait bien passé. Au début, nous avons cru que nous avions transporté dans notre monde les consciences piégées dans la dimension du Vortex, mais ensuite nous nous sommes aperçus que nos amis restaient confinés dans la dimension incorporelle et que vous n’étiez que des copies de leurs consciences.
1801	Normal	— Ainsi, je ne suis pas la véritable Élia ?
1802	Normal	— En principe, non, expliqua Ava. Tu n’es qu’une copie de la conscience originale d’Élia.
1803	Normal	— Eh bien, moi, je ne me sens pas une copie ! Je me sens comme je me suis toujours sentie. Je ne peux pas être une copie, je suis Élia !
1804	Normal	— Et tu l’es. Après cette semaine de recherche intensive, nous nous sommes aperçus que le procédé n’avait pas créé deux consciences indépendantes, mais qu’en réalité ce qu’il avait fait, c’était diviser en deux une seule et même conscience. Par conséquent, il suffit de reprogrammer le CONEXX pour qu’il fasse de ces deux moitiés une unité, expliqua Johnny.
1805	Normal	— Et pourquoi cela s’est-il produit ? demanda Ilya. Je veux dire, pourquoi deux moitiés d’une même conscience se sont-elles créées ?
1806	Normal	— C’est là la question essentielle, dit Ava. Nous nous sommes aperçus que la conscience est une réalité de nature fractale. Cela veut dire que, lorsqu’on en retranche une partie, cette partie continue de renfermer la même information que le tout. Par conséquent, la seule chose que nous ayons à faire, c’est de réunir les deux parties, et vous cesserez d’être scindés.
1807	Normal	— Très bien, et cela, comment allez-vous vous y prendre ? demanda Eusebi, avec un certain ton de scepticisme.
1808	Normal	— Tout est déjà réglé. Nous avons reprogrammé le CONEXX pour qu’il fusionne en un seul les motifs d’information quantique des deux moitiés de chaque conscience. En principe, c’est un procédé propre et sûr. Il ne devrait pas y avoir de surprises.
1809	Normal	— Et retrouverons-nous notre sexe ? demanda Eusebi.
1810	Normal	— Je crains que cela ne soit pas possible avec cette intervention. De toute façon, vous pourrez toujours vous soumettre à une opération de changement de sexe, a posteriori, si votre sexe actuel ne vous satisfait pas.
1811	Normal	— Bon, je vais y réfléchir, car à vrai dire je commence à m’habituer à vivre dans ce corps de femme.
1812	Normal	— Et quand commencerons-nous le processus de réunification ? demanda Ilya.
1813	Normal	— Si vous voulez, nous pouvons le faire tout de suite. J’ai tout préparé au laboratoire de Human Biotech. Et vos moitiés sont elles aussi informées et prêtes pour la réunification.
1814	Normal	— Alors allons-y, ne perdons pas plus de temps, dit Miqui. Je vous veux tous ici à l’heure du dîner. Je préparerai des plats spéciaux pour célébrer l’événement. Et nous arroserons le tout d’un cava de l’Empordà que je garde depuis très longtemps.
1815	Normal	— Crois-tu que ce soit nécessaire, mon amour ? Ne vaut-il pas mieux le réserver pour une occasion spéciale ? demanda Johnny.
1816	Normal	— Et tu ne trouves pas que celle-ci en est une ? Tu as réussi à mener ton projet à bien. Tu gagneras sûrement le Nobel ! Et je serai plus heureux qu’un pinson quand on te le donnera. Comme je vais faire des jaloux !
1817	Normal	— Miqui, ne t’emballe pas, il nous faut encore aller au laboratoire et lancer le procédé de fusion. J’espère que non, mais quelque chose pourrait échouer au dernier moment.
1818	Normal	— Rien n’échouera, dit Ava. Nous avons revu tout le processus mille fois. Cette fois-ci, cela ira bien, tu verras.
1819	Normal	Les heures passèrent. La Marmotte gisait paisiblement sur son coussin préféré. Miqui ne le savait pas, mais tandis qu’il préparait avec soin les mets et la table pour sept, une horde de zombies attaquait les installations de Human Biotech, juste au moment où le procédé de fusion des consciences venait de s’achever. Johnny, Ava, Ilya, Anastasia, Eusebi et Élia eurent le temps de se réfugier dans les sous-sols du bâtiment, laissant derrière eux des installations qui furent rasées par l’invasion.
1820	Normal	— Je me sens un peu étrange dans ce corps synthétique, dit Anastasia. C’est curieux, il y a quelques instants je ne le remarquais pas.
1821	Normal	— C’est le résultat de la fusion. Celle qui ne le remarquait pas, c’était ton autre moitié. Quoi qu’il en soit, tu te sens bien ? demanda Johnny.
1822	Normal	— Oui, seulement… c’est difficile à dire. Vous le savez, quand on veut décrire une expérience subjective, on n’y parvient jamais tout à fait.
1823	Normal	— Le problème des qualia. Jamais tu ne sauras ce que ressent réellement une autre personne, n’est-ce pas ? dit Élia.
1824	Normal	— Exactement. Cependant, il ne devrait pas y avoir beaucoup de différences par rapport à un corps biologique. Les corps synthétiques sont des clones de laboratoire, mais la base biochimique est la même.
1825	Normal	— Johnny, quand penses-tu qu’ils partiront ? Je ne veux pas passer toute la nuit ici ! dit Eusebi. J’avais l’intention de regarder un match de football de la dernière Coupe du monde qui s’est disputée, avant l’apocalypse.
1826	Normal	— Cette intervention de ta part me semble un peu frivole, vu les circonstances. Enfin, je ne saurais te le dire. Ces zombies se comportent de manière très étrange. Je n’avais jamais vu un comportement comme celui qu’ils manifestent. On dirait qu’ils sont intelligents !
1827	Normal	— Tu peux le dire ! s’exclama Ava. Comment est-il possible qu’ils nous poursuivent, si nous sommes des humains synthétiques ? Jusqu’à présent, ils n’attaquaient que les humains biologiques.
1828	Normal	— Il n’y a qu’une explication, répondit Élia. Ces zombies sont spéciaux parce qu’ils ont évolué. Le virus qui les a infectés a muté, avec pour conséquence qu’ils ne font désormais plus de distinction entre humains biologiques et synthétiques.
1829	Normal	— Autrement dit, c’en est fini de notre immunité ? demanda Anastasia.
1830	Normal	— Je le crains, dit Élia.
1831	Normal	— Comment pourrons-nous reconstruire le monde, si maintenant ils nous attaquent nous aussi ?
1832	Normal	— Je ne sais pas, Anastasia. La seule issue qui nous reste, c’est de trouver le vaccin, le plus tôt sera le mieux. Si nous n’y parvenons pas, l’humanité est condamnée, tant dans sa version originale que dans sa version synthétique. Comment vois-tu cela, Johnny ?
1833	Normal	— Là, tout de suite, je ne peux pas réfléchir. La seule chose qui me vienne à l’esprit, c’est que je dois appeler Miqui. Je vais lui dire de ne pas s’inquiéter et que nous ne viendrons pas dîner…
1834	Heading 2	CHAPITRE 29. Un monde nouveau
1835	Normal	Nos amis restèrent quatre jours dans cette cave. Alors qu’ils se croyaient déjà condamnés à mourir de faim et de soif, une petite lumière s’alluma au bout du tunnel. Miqui se tenait de l’autre côté de la porte blindée, hurlant comme un forcené :
1836	Normal	— Johnny ! Johnny ! Tu es là ?
1837	Normal	D’un filet de voix ténu comme un duvet, Anastasia parvint à articuler une réponse :
1838	Normal	— Oui, nous sommes là tous les quatre !
1839	Normal	— Pouvez-vous débloquer la porte ? J’apporte une assistance médicale et des vivres ! Et un individu qui prétend vous connaître, un certain Marc Ferguson.
1840	Normal	— Marc Ferguson ! Cela fait si longtemps que nous sommes sans nouvelles de lui ! dit Johnny. Nous vous ouvrons tout de suite.
1841	Normal	Lorsqu’ils débloquèrent la porte, les visages des uns et des autres exprimèrent un mélange bien compréhensible de surprise, d’inquiétude et de joie, auquel s’ajoutait une pointe de curiosité devant la présence de Marc.
1842	Normal	— Professeur ! Quelle joie de vous voir, dit Ava. Nous pensions que vous n’aviez pas survécu !
1843	Normal	— Bonjour à toutes et à tous. Je vois que Johnny et toi n’avez pas changé, mais j’ai du mal à reconnaître les autres. Ah, et je me réjouis que tu sois ressuscitée, Ava.
1844	Normal	— Tout cela grâce à Johnny, Marc. Sans lui, je serais encore congelée dans ce laboratoire. Mais je vais laisser les autres se présenter.
1845	Normal	— Bonjour ! Moi, je suis Anastasia. Les autres, ce sont mon frère jumeau Ilya, Eusebi Torruella, un ancien appariteur de l’académie, et Élia, une chercheuse en pharmacie qui s’est jointe à notre groupe. Comme vous pouvez le remarquer à nos prénoms, nous avons tous changé de sexe.
1846	Normal	— Très bien, ravi de vous retrouver. Et à quoi sont dus vos changements de sexe ? Un nouveau virus ?
1847	Normal	— Ce n’est pas cela, professeur, mais c’est très long à expliquer. Dites-nous plutôt comment vous avez fait pour échapper aux zombies.
1848	Normal	— La prévoyance. Je le voyais venir depuis longtemps, mais comme il arrive souvent dans ces cas-là, personne ne m’a écouté. Tout le monde m’a traité de fou. Ce fut très humiliant de les voir se moquer de moi, alors que je savais que j’avais raison. Mais enfin, cela s’était déjà produit d’autres fois. Souvenez-vous de Galilée, de Bruno, de Darwin… C’est le prix que nous devons payer, nous, les visionnaires. Cela ne m’a pourtant pas empêché de me construire un bunker. Je m’y suis enfermé lorsque l’invasion commençait à se répandre, et je n’en suis sorti qu’il y a quatre jours.
1849	Normal	— Et vous avez passé tous ces mois seul ?
1850	Normal	— Non, j’ai fini par convaincre Neus López de m’accompagner.
1851	Normal	— Neus ? La professeure de psychologie digitale ? demanda Anastasia.
1852	Normal	— Elle-même, bien qu’elle soit désormais Mme Ferguson. Comme nous pensions qu’il ne restait plus aucun humain sur la terre, nous avons décidé de commencer à la repeupler.
1853	Normal	— Quelle plaisanterie ! Comment peut-on songer à faire des enfants dans ce monde de zombies ! dit Miqui.
1854	Normal	— Cela a un rapport avec le projet de toxine sur lequel je travaille. S’il fonctionne, il mettra fin à ce fléau. Mais je ne suis pas encore parvenu à empêcher qu’il nous affecte, nous aussi.
1855	Normal	— Je peux peut-être vous aider, dit Élia. J’ai de l’expérience en pharmacologie inhibitrice.
1856	Normal	— Toute aide sera la bienvenue, docteure Élia. Mais il nous faudra un nouveau laboratoire, car l’instrumentation dont je dispose dans le bunker est assez limitée.
1857	Normal	— À la faculté de pharmacie de l’UB, où j’ai étudié, il y avait un équipement excellent. Il est peut-être encore en bon état, avança Élia.
1858	Normal	— Alors, nous devons aller vérifier cela. Ce sera notre base d’opérations pour fabriquer la toxine.
1859	Normal	— Mais comment peut-elle les affecter ? À ma connaissance, les zombies ne respirent pas, dit Eusebi.
1860	Normal	— Par contact. Il suffira qu’ils la touchent, et la substance toxique se propagera dans tout leur corps en leur paralysant le système nerveux, répondit Marc.
1861	Normal	— Et comment saurons-nous qu’elle ne nous affectera pas, nous ? demanda Miqui.
1862	Normal	— Il n’y a qu’une seule manière de le savoir : que quelqu’un se porte volontaire pour servir de cobaye, affirma Johnny. C’est l’unique moyen.
1863	Normal	— Je crains qu’il n’en soit ainsi, conclut Marc.
1864	Normal	— Alors nous n’avons pas de temps à perdre, dit Ilya. Nous devrions gagner la faculté de pharmacie, et si elle est en bon état, nous pourrons nous y installer. Cependant, si quelqu’un a une autre option à proposer, qu’il ne se gêne pas.
1865	Normal	Personne ne dit rien, si bien qu’une fois leurs forces reprises, tout le groupe sortit de cette cave lugubre. L’extérieur était relativement tranquille, sans présence de zombies. Johnny demanda du regard à quoi cela tenait, mais Miqui ne put dissiper son doute.
1866	Normal	— Il n’y a pas de zombies dans le secteur, c’est pour cela que nous avons osé venir vous secourir. En réalité, personne ne sait avec certitude pourquoi ils sont partis. Nous supposons qu’ici les réserves de cerveaux vivants sont épuisées, et qu’ils en cherchent d’instinct en d’autres lieux. Mais enfin, ce n’est qu’une supposition.
1867	Normal	— Il est fort probable que ce soit la raison. Le problème surviendra lorsqu’il ne restera plus personne dont manger le cerveau. Que feront-ils alors ? Se dévoreront-ils entre eux ? demanda Anastasia.
1868	Normal	— Il est peu probable que cela se produise. Le peu de cerveau qui leur reste est dans un état si dégradé qu’il ne pourra pas les nourrir. Le plus vraisemblable, c’est qu’ils sombrent dans un état végétatif, jusqu’à ce que quelque chose de vivant les réveille de nouveau, répondit Ava.
1869	Normal	Le jour commençait à tomber lorsqu’ils arrivèrent au bâtiment de la faculté de pharmacie, situé dans la partie haute de la ville, en pleine avenue Diagonal. C’était un géant de brique et de béton, aux lignes droites et aux larges baies vitrées, divisé en deux grandes sections et dominé par une porte d’entrée réalisée par l’architecte Antoni Gaudí. Avançant avec mille précautions et menés par Élia, ils la franchirent pour s’enfoncer dans le pavillon où se trouvaient les laboratoires.
1870	Normal	— Eurêka ! s’exclama-t-elle. Les laboratoires sont intacts. Nous avons eu de la chance !
1871	Normal	Tandis qu’elle disait cela, un zombie qui gisait à terre, immobile, se dressa d’un coup, prêt à lui mordre la jambe. Mais Élia sut réagir à temps pour le retenir de ses bras, et déployant toute la force dont elle disposait avec son nouveau corps viril, elle l’écrasa contre le mur, moment qu’Ava mit à profit pour lui broyer la tête avec les bottes à bout métallique qu’elle portait.
1872	Normal	— Merci, Ava, pour un peu je me transformais en dévoreuse de cerveaux.
1873	Normal	— À ton service, mon beau.
1874	Normal	Le compliment que sa petite amie venait de lancer n’échappa pas à la « nouvelle » Anastasia, qui adressa à Ava un regard interrogateur. Celle-ci, en la voyant, lui rendit le geste avec une signification opposée : « Ne t’inquiète pas, je ne faisais que flirter. »
1875	Normal	— Il est essentiel que vous ne baissiez pas la garde, dit Marc. Le danger guette à chaque coin de rue.
1876	Normal	— C’est vrai, mais il est difficile de maintenir un état d’alerte constant. C’est épuisant, répondit Eusebi. Et puis il faut aussi s’y habituer, car de l’autre côté il n’y a pas de zombies, pour l’instant.
1877	Normal	Tous rirent de la plaisanterie, mais leur bonne humeur fut brisée net lorsqu’ils entendirent les hurlements caractéristiques d’une nouvelle horde de mangeurs de cerveaux qui approchait.
1878	Normal	— Ils sont revenus ! cria Miqui. Que pouvons-nous faire ?
1879	Normal	— Vite, assurez-vous que les portes du laboratoire sont bien bloquées, cachez-vous et, surtout, ne faites pas de bruit, ordonna Marc.
1880	Normal	La horde passa son chemin, laissant derrière elle un amas de lambeaux de chair morte et une intense puanteur de pourriture. Cette apparition soudaine fit se demander à Marc s’ils avaient pris la bonne décision.
1881	Normal	— Écoutez, nous devrions peut-être reconsidérer notre choix : rester ici ou chercher une autre cachette. Ces zombies peuvent revenir à tout moment.
1882	Normal	— Mais où trouverons-nous un laboratoire comme celui-ci ? demanda Élia.
1883	Normal	— Je ne sais pas, mais ici nous n’avons pas la sécurité qu’il nous faut. Ces portes ne résisteront pas à un raz-de-marée, s’ils décident d’entrer, répondit Marc.
1884	Normal	— Nous pourrions essayer l’académie. C’est un bâtiment très solide, où nous pourrions nous retrancher, proposa Ilya.
1885	Normal	— De plus, nous disposerions de toutes les ressources documentaires de la bibliothèque. Depuis la chute des réseaux internet, elles sont devenues les dernières sources de savoir qui subsistent, ajouta Johnny.
1886	Normal	— Johnny, tu vas finir par régner de nouveau sur tes anciens domaines ! fit observer Anastasia.
1887	Normal	Tous jugèrent la proposition sensée, si bien qu’ils se mirent en marche vers le bâtiment Eldoria. Le trajet ne durerait qu’une trentaine de minutes, s’il n’y avait pas d’obstacles. L’obscurité de la nuit pouvait leur être profitable, mais elle compliquait en même temps leur orientation. Lorsqu’ils y parvinrent enfin, ils constatèrent que les portes principales, hautes et solides, étaient barricadées.
1888	Normal	— Comment fait-on pour entrer ? demanda Miqui.
1889	Normal	— Il y a une entrée secrète. J’espère qu’elle est encore utilisable. Mais il nous faudra descendre par les égouts, répondit Johnny.
1890	Normal	— Une entrée secrète ? Je n’en savais rien, affirma Eusebi.
1891	Normal	— Seuls Maarten, Matilde et moi étions au courant.
1892	Normal	— Matilde ! Quelle femme fouineuse ! dit Eusebi. Qui sait où elle traîne.
